effect_id	region_id	source_id	comparison	outcome	effect_value	effect_unit	replicates	evidence_layer	value_origin	species	cell_context	tested_interval	control	uncertainty	locator	limitations
AE001	PMP22_DISTAL_A	JONES2012	SOX10_mutant_vs_WT	luciferase_activity_reduction	85	percent_reduction_approximate	independent luciferase n not stated in figure legend	reporter	author_text_approximate	human insert in rat cells	S16 Schwann cell line	historical human reporter; see mapping_audit.tsv	same-region wild-type reporter	SD plotted; numerical SD and individual values unavailable	Results and Fig. 4D	Not native human RNA; C text estimate retained separately from visually approximate bar; no digitization
AE002	PMP22_DISTAL_B	JONES2012	EGR2_1_mutant_vs_WT	luciferase_activity_reduction	45	percent_reduction_approximate	independent luciferase n not stated in figure legend	reporter	author_text_approximate	human insert in rat cells	S16 Schwann cell line	historical human reporter; see mapping_audit.tsv	same-region wild-type reporter	SD plotted; numerical SD and individual values unavailable	Results and Fig. 4E	Not native human RNA; C text estimate retained separately from visually approximate bar; no digitization
AE003	PMP22_DISTAL_C	JONES2012	SOX10_1_mutant_vs_WT	luciferase_activity_reduction	65	percent_reduction_approximate	independent luciferase n not stated in figure legend	reporter	author_text_approximate	human insert in rat cells	S16 Schwann cell line	historical human reporter; see mapping_audit.tsv	same-region wild-type reporter	SD plotted; numerical SD and individual values unavailable	Results and Fig. 4F	Not native human RNA; C text estimate retained separately from visually approximate bar; no digitization
AE004	PMP22_DISTAL_B	JONES2012	SOX10_mutant_vs_WT	no significant reduction reported		not_numerically_extracted	independent luciferase n not stated in figure legend	reporter	author_qualitative	human insert in rat cells	S16 Schwann cell line	same historical reporter	same-region wild-type reporter	null result is not equivalence; precision unknown	Fig. 4E-F and Results	Retained negative mutation; blank is not zero
AE005	PMP22_DISTAL_B	JONES2012	EGR2_2_mutant_vs_WT	no significant reduction reported		not_numerically_extracted	independent luciferase n not stated in figure legend	reporter	author_qualitative	human insert in rat cells	S16 Schwann cell line	same historical reporter	same-region wild-type reporter	null result is not equivalence; precision unknown	Fig. 4E-F and Results	Retained negative mutation; blank is not zero
AE006	PMP22_DISTAL_C	JONES2012	SOX10_2_mutant_vs_WT	no significant reduction reported		not_numerically_extracted	independent luciferase n not stated in figure legend	reporter	author_qualitative	human insert in rat cells	S16 Schwann cell line	same historical reporter	same-region wild-type reporter	null result is not equivalence; precision unknown	Fig. 4E-F and Results	Retained negative mutation; blank is not zero
AE007	PMP22_DISTAL_C	JONES2012	SOX10_3_mutant_vs_WT	no significant reduction reported		not_numerically_extracted	independent luciferase n not stated in figure legend	reporter	author_qualitative	human insert in rat cells	S16 Schwann cell line	same historical reporter	same-region wild-type reporter	null result is not equivalence; precision unknown	Fig. 4E-F and Results	Retained negative mutation; blank is not zero
AE008	PMP22_DISTAL_A	JONES2012	motor_nerve_positive_among_EGFP_positive_embryos	embryos_with_motor_nerve_EGFP	73	positive_embryos	78 EGFP-positive embryos	in_vivo_reporter	author_exact_counts	human insert in zebrafish	transient transgenic embryos	same historical reporter	conditional denominator: EGFP-positive embryos, not all injected embryos	no new interval calculated; nesting by injection batch unavailable	Results preceding Fig. 5	Counts measure reporter localization; not treatment-control expression or population replication
AE009	PMP22_DISTAL_B	JONES2012	motor_nerve_positive_among_EGFP_positive_embryos	embryos_with_motor_nerve_EGFP	91	positive_embryos	94 EGFP-positive embryos	in_vivo_reporter	author_exact_counts	human insert in zebrafish	transient transgenic embryos	same historical reporter	conditional denominator: EGFP-positive embryos, not all injected embryos	no new interval calculated; nesting by injection batch unavailable	Results preceding Fig. 5	Counts measure reporter localization; not treatment-control expression or population replication
AE010	PMP22_DISTAL_C	JONES2012	motor_nerve_positive_among_EGFP_positive_embryos	embryos_with_motor_nerve_EGFP	79	positive_embryos	86 EGFP-positive embryos	in_vivo_reporter	author_exact_counts	human insert in zebrafish	transient transgenic embryos	same historical reporter	conditional denominator: EGFP-positive embryos, not all injected embryos	no new interval calculated; nesting by injection batch unavailable	Results preceding Fig. 5	Counts measure reporter localization; not treatment-control expression or population replication
